CCAA;Nombre CCAA;Cod_Provincia_INE;Cod_Provincia_Catastro;Nombre Provincia;Cod_Municipio_Ine_Corto;Cod_Municipio_Ine;Cod_Municipio_Catastro;Nombre Municipio_Ine;Nombre Municipio_Catastro;;;;;;;;
07;CASTILLA LA MANCHA;19;19;GUADALAJARA;8;0083;9;ALBENDIEGO;ALBENDIEGO;;;;;;;;
02;ARAGÓN;44;44;TERUEL;10;0103;10;ALBENTOSA;ALBENTOSA;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;11;0116;11;ALBERIC;ALBERIC;;;;;;;;
16;LA RIOJA;26;26;RIOJA (LA);6;0064;6;ALBERITE;ALBERITE;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;10;0107;10;ALBERITE DE SAN JUAN;ALBERITE DE SAN JUAN;;;;;;;;
02;ARAGÓN;22;22;HUESCA;11;0113;15;ALBERO ALTO;ALBERO ALTO;;;;;;;;
02;ARAGÓN;22;22;HUESCA;12;0128;16;ALBERO BAJO;ALBERO BAJO;;;;;;;;
02;ARAGÓN;22;22;HUESCA;13;0134;18;ALBERUELA DE TUBO;ALBERUELA DE TUBO;;;;;;;;
09;CATALUÑA;25;25;LLEIDA;8;0083;8;ALBESA;ALBESA;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;11;0114;11;ALBETA;ALBETA;;;;;;;;
08;CASTILLA Y LEÓN;09;9;BURGOS;9;0098;9;ALBILLOS;ALBILLOS;;;;;;;;
09;CATALUÑA;43;43;TARRAGONA;2;0022;2;ALBINYANA;ALBINYANA;;;;;;;;
15;PAIS VASCO;20;20;GIPUZKOA;4;0049;4;ALBIZTUR;ALBIZTUR;;;;;;;;
17;COMUNIDAD VALENCIANA;12;12;CASTELLÓN/CASTELLÓ;3;0038;3;ALBOCASSER;ALBOCASSER;;;;;;;;
01;ANDALUCIA;04;4;ALMERÍA;5;0059;5;ALBOLODUY;ALBOLODUY;;;;;;;;
01;ANDALUCIA;18;18;GRANADA;3;0037;4;ALBOLOTE;ALBOLOTE;;;;;;;;
01;ANDALUCIA;18;18;GRANADA;4;0042;5;ALBONDON;ALBONDON;;;;;;;;
09;CATALUÑA;17;17;GIRONA;4;0046;4;ALBONS;ALBONS;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;12;0121;12;ALBORACHE;ALBORACHE;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;13;0137;13;ALBORAYA;ALBORAYA;;;;;;;;
07;CASTILLA LA MANCHA;02;2;ALBACETE;5;0058;5;ALBOREA;ALBOREA;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;12;0129;12;ALBORGE;ALBORGE;;;;;;;;
08;CASTILLA Y LEÓN;05;5;ÁVILA;5;0052;5;ALBORNOS;ALBORNOS;;;;;;;;
01;ANDALUCIA;04;4;ALMERÍA;6;0062;6;ALBOX;ALBOX;;;;;;;;
13;REGION DE MURCIA;30;30;MURCIA;4;0047;4;ALBUDEITE;ALBUDEITE;;;;;;;;
17;COMUNIDAD VALENCIANA;46;46;VALENCIA/VALÈNCIA;14;0142;14;ALBUIXECH;ALBUIXECH;;;;;;;;
01;ANDALUCIA;18;18;GRANADA;5;0055;6;ALBUÑAN;ALBUÑAN;;;;;;;;
01;ANDALUCIA;18;18;GRANADA;6;0068;7;ALBUÑOL;ALBUÑOL;;;;;;;;
01;ANDALUCIA;18;18;GRANADA;7;0074;8;ALBUÑUELAS;ALBUÑUELAS;;;;;;;;
10;EXTREMADURA;06;6;BADAJOZ;6;0068;6;ALBURQUERQUE;ALBURQUERQUE;;;;;;;;
07;CASTILLA LA MANCHA;45;45;TOLEDO;4;0041;4;ALCABON;ALCABON;;;;;;;;
07;CASTILLA LA MANCHA;02;2;ALBACETE;6;0061;6;ALCADOZO;ALCADOZO;;;;;;;;
